"State","County","Commodity","Value","Year","Yield_Mg_p_ha","Yield_ton_p_acre"
"Iowa","Boone","oats",113,"2020",4.52,1.808
"Iowa","Hamilton","oats",117.6,"2020",4.704,1.8816
"Iowa","Hardin","oats",67.2,"2020",2.688,1.0752
"Iowa","Benton","oats",79.2,"2020",3.168,1.2672
"Iowa","Clinton","oats",72,"2020",2.88,1.152
"Iowa","Iowa","oats",69.4,"2020",2.776,1.1104
"Iowa","Jackson","oats",61.7,"2020",2.468,0.9872
"Iowa","Johnson","oats",82.2,"2020",3.288,1.3152
"Iowa","Jones","oats",68,"2020",2.72,1.088
"Iowa","Linn","oats",78.3,"2020",3.132,1.2528
"Iowa","Butler","oats",70.5,"2020",2.82,1.128
"Iowa","Mitchell","oats",89.6,"2020",3.584,1.4336
"Iowa","Winnebago","oats",72.5,"2020",2.9,1.16
"Iowa","Worth","oats",84.3,"2020",3.372,1.3488
"Iowa","Allamakee","oats",62.4,"2020",2.496,0.9984
"Iowa","Black Hawk","oats",77.3,"2020",3.092,1.2368
"Iowa","Bremer","oats",90.1,"2020",3.604,1.4416
"Iowa","Buchanan","oats",72.6,"2020",2.904,1.1616
"Iowa","Chickasaw","oats",76.2,"2020",3.048,1.2192
"Iowa","Clayton","oats",64.2,"2020",2.568,1.0272
"Iowa","Delaware","oats",81.8,"2020",3.272,1.3088
"Iowa","Dubuque","oats",59.5,"2020",2.38,0.952
"Iowa","Fayette","oats",70,"2020",2.8,1.12
"Iowa","Howard","oats",77.5,"2020",3.1,1.24
"Iowa","Winneshiek","oats",62.5,"2020",2.5,1
"Iowa","Lyon","oats",79.9,"2020",3.196,1.2784
"Iowa","O Brien","oats",80,"2020",3.2,1.28
"Iowa","Plymouth","oats",94.4,"2020",3.776,1.5104
"Iowa","Sioux","oats",105.9,"2020",4.236,1.6944
"Iowa","Monroe","oats",73.8,"2020",2.952,1.1808
"Iowa","Davis","oats",67.9,"2020",2.716,1.0864
"Iowa","Van Buren","oats",62.7,"2020",2.508,1.0032
"Iowa","Washington","oats",80.8,"2020",3.232,1.2928
"Iowa","Audubon","oats",74.7,"2020",2.988,1.1952
"Iowa","Greene","oats",82.7,"2020",3.308,1.3232
"Iowa","Shelby","oats",98.4,"2020",3.936,1.5744
"Iowa","Jasper","oats",61.1,"2019",2.444,0.9776
"Iowa","Other (Combined) Counties","oats",62.6,"2019",2.504,1.0016
"Iowa","Benton","oats",65.2,"2019",2.608,1.0432
"Iowa","Clinton","oats",64.4,"2019",2.576,1.0304
"Iowa","Johnson","oats",54.2,"2019",2.168,0.8672
"Iowa","Jones","oats",64.3,"2019",2.572,1.0288
"Iowa","Linn","oats",66.1,"2019",2.644,1.0576
"Iowa","Other (Combined) Counties","oats",59.3,"2019",2.372,0.9488
"Iowa","Kossuth","oats",52.1,"2019",2.084,0.8336
"Iowa","Other (Combined) Counties","oats",53.2,"2019",2.128,0.8512
"Iowa","Allamakee","oats",60.2,"2019",2.408,0.9632
"Iowa","Bremer","oats",77,"2019",3.08,1.232
"Iowa","Buchanan","oats",61.2,"2019",2.448,0.9792
"Iowa","Chickasaw","oats",60.5,"2019",2.42,0.968
"Iowa","Clayton","oats",60.3,"2019",2.412,0.9648
"Iowa","Dubuque","oats",64.2,"2019",2.568,1.0272
"Iowa","Fayette","oats",64.8,"2019",2.592,1.0368
"Iowa","Other (Combined) Counties","oats",70.1,"2019",2.804,1.1216
"Iowa","Winneshiek","oats",59.9,"2019",2.396,0.9584
"Iowa","Lyon","oats",69.2,"2019",2.768,1.1072
