"Block","Bale wts (lb)","Fresh wt  (lb/acre)","Fresh wt (ton/acre)","fresh weight (g)","dry weight (g)","% moisture","Year","Crop_ID","Crop","Harvested area (m2)","Harvested area (acre)","ton/ac at 0% moisture","ton/ac at 15% moisture","Mg/ha at 0% moisture","Mg/ha at 15% moisture"
"1",1711,4502.63157894737,2.25131578947368,440.1,357.7,18.7230174960236,"2017","A4","alfalfa",1512,0.373623006479097,1.82980154031978,2.10427177136775,4.10186611293486,4.71714602987509
"2",1629,4286.84210526316,2.14342105263158,450,371.7,17.4,"2017","A4","alfalfa",1512,0.373623006479097,1.77046578947368,2.03603565789474,3.96885316026316,4.56418113430263
"3",1839,4839.47368421053,2.41973684210526,447.2,359.1,19.7003577817531,"2017","A4","alfalfa",1512,0.373623006479097,1.94304002683363,2.23449603085868,4.35571282815295,5.00906975237589
"4",1833,4823.68421052632,2.41184210526316,360.4,286.3,20.5604883462819,"2017","A4","alfalfa",1512,0.373623006479097,1.91595559027981,2.20334892882178,4.29499764673024,4.93924729373978
"1",1074,2826.31578947368,1.41315789473684,420.4,369.9,12.0123691722169,"2017","A4","alfalfa",1512,0.373623006479097,1.24340415143472,1.42991477414993,2.78733908627122,3.2054399492119
"2",1221,3213.15789473684,1.60657894736842,444,386.1,13.0405405405405,"2017","A4","alfalfa",1512,0.373623006479097,1.39707236842105,1.60663322368421,3.13181712828947,3.6015896975329
"3",1152,3031.57894736842,1.51578947368421,429.7,382.8,10.9145915755178,"2017","A4","alfalfa",1512,0.373623006479097,1.35034724348689,1.55289933000992,3.02707341572456,3.48113442808324
"4",1152,3031.57894736842,1.51578947368421,439.5,391.2,10.9897610921502,"2017","A4","alfalfa",1512,0.373623006479097,1.34920783186636,1.55158900664631,3.02451919669481,3.47819707619903
"1",584,1536.84210526316,0.768421052631579,449.1,361.9,19.4166109997773,"2017","A4","alfalfa",1512,0.373623006479097,0.619219726001711,0.712102684901968,1.38810485977804,1.59632058874474
"2",591,1555.26315789474,0.777631578947368,424.3,331.2,21.9420221541362,"2017","A4","alfalfa",1512,0.373623006479097,0.607003485617178,0.698054008459754,1.36071971370803,1.56482767076423
"3",584,1536.84210526316,0.768421052631579,406.9,327.6,19.4888178913738,"2017","A4","alfalfa",1512,0.373623006479097,0.618664873045233,0.711464604002018,1.3868610459055,1.59489020279132
"4",645,1697.36842105263,0.848684210526316,443.7,349.2,21.2981744421907,"2017","A4","alfalfa",1512,0.373623006479097,0.667929966905092,0.768119461940856,1.49729860681115,1.72189339783282
"1",437,1150,0.575,342.8,291.4,14.9941656942824,"2017","A4","alfalfa",1512,0.373623006479097,0.488783547257876,0.562101079346558,1.09570607788798,1.26006198957118
"2",370,973.684210526315,0.486842105263158,392.2,313,20.1937786843447,"2017","A4","alfalfa",1512,0.373623006479097,0.388530287984111,0.446809831181728,0.870968346573982,1.00161359856008
