"Plot","Crop_ID","Corn_weed_management","Harvested Weight (lbs.)","% Moisture","Harvest strip length (ft)","Harvest strip width (ft)","Harvest strip area (acres)","Harvest strip area (hectares)","Yield (lb/acre @ 0%)","Yield (lb/acre @ 15.5%)","bu/acre at 15.5% moisture","Mg/ha at 15.5% moisture","Year","Crop","ton/ac at 15.5% moisture","Mg/ha at 0% moisture","ton/ac at 0% moisture","Block"
11,"C3","conventional",1200,17.7,275,15,0.0946969696969697,0.0383522727272727,10429.056,12342.0781065089,220.394251901944,13.8231274792899,"2017","corn",6.17103905325444,8.91814676083222,5.34289095519865,"1"
11,"C3","low",1215,18.3,275,15,0.0946969696969697,0.0383522727272727,10482.4368,12405.2506508876,221.522333051564,13.8938807289941,"2017","corn",6.20262532544379,8.96379401870586,5.37023837700761,"1"
14,"C4","conventional",970,17.4,275,15,0.0946969696969697,0.0383522727272727,8460.8832,10012.8795266272,178.801420118343,11.2144250698225,"2017","corn",5.00643976331361,7.23511294827257,4.3345798816568,"1"
14,"C4","low",950,17.6,275,15,0.0946969696969697,0.0383522727272727,8266.368,9782.68402366864,174.69078613694,10.9566061065089,"2017","corn",4.89134201183432,7.06877813323153,4.2349281487743,"1"
19,"C2","conventional",970,17.2,275,15,0.0946969696969697,0.0383522727272727,8481.3696,10037.1237869822,179.234353338969,11.2415786414201,"2017","corn",5.01856189349112,7.25263138156137,4.34507523245985,"1"
19,"C2","low",965,17.2,275,15,0.0946969696969697,0.0383522727272727,8437.6512,9985.38603550296,178.310464919696,11.1836323597633,"2017","corn",4.99269301775148,7.21524668371827,4.32267793744717,"1"
23,"C3","conventional",1060,17.9,275,15,0.0946969696969697,0.0383522727272727,9189.9456,10875.6752662722,194.208486897718,12.1807562982248,"2017","corn",5.43783763313609,7.85855245046764,4.70808453085376,"2"
23,"C3","low",1075,18.2,275,15,0.0946969696969697,0.0383522727272727,9285.936,10989.2733727811,196.237024513948,12.3079861775148,"2017","corn",5.49463668639053,7.94063624355793,4.75726120033812,"2"
27,"C2","conventional",1010,17.6,275,15,0.0946969696969697,0.0383522727272727,8788.4544,10400.5377514793,185.723888419273,11.6486022816568,"2017","corn",5.20026887573965,7.51522727848826,4.50239729501268,"2"
27,"C2","low",1000,17.8,275,15,0.0946969696969697,0.0383522727272727,8680.32,10272.5680473373,183.438715131023,11.5052762130178,"2017","corn",5.13628402366864,7.42275884710823,4.44699915469146,"2"
29,"C4","conventional",1170,18,275,15,0.0946969696969697,0.0383522727272727,10131.264,11989.6615384615,214.101098901099,13.4284209230769,"2017","corn",5.99483076923077,8.66349736972704,5.19032967032967,"2"
29,"C4","low",1175,18,275,15,0.0946969696969697,0.0383522727272727,10174.56,12040.899408284,215.016060862215,13.4858073372781,"2017","corn",6.02044970414201,8.70052086276007,5.21251056635672,"2"
32,"C4","conventional",1090,17,275,15,0.0946969696969697,0.0383522727272727,9553.632,11306.0733727811,201.89416737109,12.6628021775148,"2017","corn",5.65303668639053,8.16954979194503,4.89440405748098,"3"
32,"C4","low",1030,17.3,275,15,0.0946969696969697,0.0383522727272727,8995.1136,10645.104852071,190.091158072697,11.9225174343195,"2017","corn",5.3225524260355,7.69194673181905,4.60827049873204,"3"
35,"C2","conventional",1055,17.2,275,15,0.0946969696969697,0.0383522727272727,9224.5824,10916.6655621302,194.94045646661,12.2266654295858,"2017","corn",5.45833278106509,7.88817124489406,4.7258292476754,"3"
35,"C2","low",1010,17.3,275,15,0.0946969696969697,0.0383522727272727,8820.4512,10438.4037869823,186.400067624683,11.6910122414201,"2017","corn",5.21920189349113,7.54258854285169,4.51878951817413,"3"
38,"C3","conventional",1155,18.4,275,15,0.0946969696969697,0.0383522727272727,9952.5888,11778.2115976331,210.325207100592,13.1915969893491,"2017","corn",5.88910579881657,8.51070773506394,5.09879289940828,"3"
38,"C3","low",1175,18.2,275,15,0.0946969696969697,0.0383522727272727,10149.744,12011.5313609467,214.491631445478,13.4529151242604,"2017","corn",6.00576568047337,8.67930008016797,5.19979712595097,"3"
45,"C2","conventional",1070,17,275,15,0.0946969696969697,0.0383522727272727,9378.336,11098.6224852071,198.189687235841,12.430457183432,"2017","corn",5.54931124260355,8.01964979576255,4.80459847844463,"4"
45,"C2","low",1075,16.8,275,15,0.0946969696969697,0.0383522727272727,9444.864,11177.3538461538,199.595604395604,12.5186363076923,"2017","corn",5.58867692307692,8.07653955334988,4.83868131868132,"4"
48,"C3","conventional",1315,18.7,275,15,0.0946969696969697,0.0383522727272727,11289.6432,13360.5244970414,238.580794590025,14.9637874366864,"2017","corn",6.68026224852071,9.65405641076541,5.78377683854607,"4"
48,"C3","low",1230,18.6,275,15,0.0946969696969697,0.0383522727272727,10572.8832,12512.2878106509,223.43371090448,14.013762347929,"2017","corn",6.25614390532544,9.04113699866387,5.41657480980558,"4"
49,"C4","conventional",1240,17.7,275,15,0.0946969696969697,0.0383522727272727,10776.6912,12753.4807100592,227.740726965342,14.2838983952663,"2017","corn",6.37674035502959,9.21541831952663,5.52098732037194,"4"
49,"C4","low",1280,18,275,15,0.0946969696969697,0.0383522727272727,11083.776,13116.8946745562,234.230262045647,14.690922035503,"2017","corn",6.55844733727811,9.47801421645352,5.67830938292477,"4"
13,"C2","conventional",920,14.8,275,15,0.0946969696969697,0.0383522727272727,8277.3504,9795.68094674556,174.922874049028,10.971162660355,"2018","corn",4.89784047337278,7.07816945829357,4.24055452240068,"1"
13,"C2","low",1022,14.8,275,15,0.0946969696969697,0.0383522727272727,9195.05664,10881.7238343195,194.31649704142,12.1875306944379,"2018","corn",5.44086191715976,7.86292302866959,4.71070295857988,"1"
