"Year","County","Commodity","Data Item","Value","Value ton/ac","Value Mg/ha"
2020,"OTHER COUNTIES","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175.4,4.9112,11.0193325195337
2020,"OTHER COUNTIES","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.6,1.698,3.80982786654344
2020,"BOONE","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",160.7,4.4996,10.0958194748521
2020,"BOONE","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.9,1.527,3.42615262203288
2020,"DALLAS","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139.7,3.9116,8.77651512530703
2020,"DALLAS","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",47.1,1.413,3.17036912569251
2020,"GRUNDY","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",182.7,5.1156,11.4779478410422
2020,"GRUNDY","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.9,1.827,4.0992670860865
2020,"HAMILTON","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",166.2,4.6536,10.4413515663996
2020,"HAMILTON","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.5,1.545,3.4665394898761
2020,"HARDIN","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",155.7,4.3596,9.78169939162709
2020,"HARDIN","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.8,1.584,3.55404437020307
2020,"POLK","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",150.2,4.2056,9.43616730007957
2020,"POLK","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.2,1.506,3.37903460954913
2020,"POWESHIEK","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138.2,3.8696,8.68227910033952
2020,"POWESHIEK","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.8,1.644,3.68866726301379
2020,"STORY","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",148.4,4.1552,9.32308407011856
2020,"STORY","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.2,1.566,3.51365750235985
2020,"TAMA","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.7,3.7156,8.336747008792
2020,"TAMA","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.2,1.686,3.7829032879813
2020,"WEBSTER","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",173.1,4.8468,10.8748372812502
2020,"WEBSTER","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.4,1.512,3.3924968988302
2020,"BENTON","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",144.8,4.0544,9.09691761019655
2020,"BENTON","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.7,1.701,3.81655901118398
2020,"CEDAR","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",153.3,4.2924,9.63092175167908
2020,"CEDAR","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.4,1.692,3.79636557726237
2020,"CLINTON","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178.4,4.9952,11.2078045694687
2020,"CLINTON","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",57,1.71,3.83675244510559
2020,"IOWA","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",151.1,4.2308,9.49270891506007
2020,"IOWA","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",49.8,1.494,3.35211003098699
2020,"JACKSON","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",185.6,5.1968,11.6601374893127
2020,"JACKSON","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.7,1.641,3.68193611837326
2020,"JOHNSON","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",161.8,4.5304,10.1649258931616
2020,"JOHNSON","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",51.8,1.554,3.48673292379771
2020,"JONES","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.6,4.8048,10.7806012562826
2020,"JONES","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",54,1.62,3.6348181058895
2020,"LINN","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",164.9,4.6172,10.3596803447611
2020,"MUSCATINE","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.8,4.8384,10.8559900762567
2020,"MUSCATINE","soybeans","SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.6,1.668,3.74251642013808
2020,"SCOTT","corn","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181.3,5.0764,11.3899942177392
