"Plot","Crop_ID","Rot","Variety","Planted","Harvested","Moisture","Year","Bale_lbs","Fresh_lb_p_ac","Fresh_ton_p_ac","Dry_ton_p_ac","Cut_n","Fresh_MgpHa","Dry_MgpHa","Crop","Block"
18,"A4","4-year","Pioneer 55H94","29-Mar-16","5-Jun-17",18.7230175,2017,1711,4502.631579,2.251315789,1.82980154,1,5.04779325,4.09875545,"alfalfa","1"
28,"A4","4-year","Pioneer 55H94","29-Mar-16","5-Jun-17",17.4,2017,1629,4286.842105,2.143421053,1.770465789,1,4.8058768,3.965843368,"alfalfa","2"
37,"A4","4-year","Pioneer 55H94","29-Mar-16","5-Jun-17",19.70035778,2017,1839,4839.473684,2.419736842,1.943040027,1,5.425418928,4.35240966,"alfalfa","3"
46,"A4","4-year","Pioneer 55H94","29-Mar-16","5-Jun-17",20.56048835,2017,1833,4823.684211,2.411842105,1.91595559,1,5.407717725,4.291740522,"alfalfa","4"
18,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Jul-17",12.01236917,2017,1074,2826.315789,1.413157895,1.243404151,2,3.168515459,2.785225299,"alfalfa","1"
28,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Jul-17",13.04054054,2017,1221,3213.157895,1.606578947,1.397072368,2,3.602194949,3.129442105,"alfalfa","2"
37,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Jul-17",10.91459158,2017,1152,3031.578947,1.515789474,1.350347243,2,3.398631107,3.024777825,"alfalfa","3"
46,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Jul-17",10.98976109,2017,1152,3031.578947,1.515789474,1.349207832,2,3.398631107,3.022225543,"alfalfa","4"
18,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Aug-17",19.416611,2017,584,1536.842105,0.768421053,0.619219726,3,1.722917158,1.387052186,"alfalfa","1"
28,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Aug-17",21.94202215,2017,591,1555.263158,0.777631579,0.607003486,3,1.743568563,1.359687808,"alfalfa","2"
37,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Aug-17",19.48881789,2017,584,1536.842105,0.768421053,0.618664873,3,1.722917158,1.385809316,"alfalfa","3"
46,"A4","4-year","Pioneer 55H94","29-Mar-16","7-Aug-17",21.29817444,2017,645,1697.368421,0.848684211,0.667929967,3,1.902879396,1.496163126,"alfalfa","4"
18,"A4","4-year","Pioneer 55H94","29-Mar-16","11-Sep-17",14.99416569,2017,437,1150,0.575,0.488783547,4,1.289237668,1.094875146,"alfalfa","1"
28,"A4","4-year","Pioneer 55H94","29-Mar-16","11-Sep-17",20.19377868,2017,370,973.6842105,0.486842105,0.388530288,4,1.091574227,0.870307845,"alfalfa","2"
37,"A4","4-year","Pioneer 55H94","29-Mar-16","11-Sep-17",14.61744567,2017,366,963.1578947,0.481578947,0.411184406,4,1.079773425,0.92105307,"alfalfa","3"
46,"A4","4-year","Pioneer 55H94","29-Mar-16","11-Sep-17",19.24847245,2017,420,1105.263158,0.552631579,0.446258442,4,1.239084258,0.999618909,"alfalfa","4"
12,"A4","4-year","Pioneer 55H94","12-Apr-17","4-Jun-18",15.64912281,2018,1609,4234.210526,2.117105263,1.785796861,1,4.746872787,4.000184968,"alfalfa","1"
21,"A4","4-year","Pioneer 55H94","12-Apr-17","4-Jun-18",19.36113143,2018,1585,4171.052632,2.085526316,1.681744825,1,4.676067973,3.767108407,"alfalfa","2"
31,"A4","4-year","Pioneer 55H94","12-Apr-17","4-Jun-18",15.59792028,2018,1663,4376.315789,2.188157895,1.846850771,1,4.90618362,4.136945727,"alfalfa","3"
43,"A4","4-year","Pioneer 55H94","12-Apr-17","4-Jun-18",20.31888003,2018,1513,3981.578947,1.990789474,1.586283349,1,4.463653528,3.553274701,"alfalfa","4"
12,"A4","4-year","Pioneer 55H94","12-Apr-17","9-Jul-18",11.54688869,2018,699,1839.473684,0.919736842,0.813535853,2,2.062190229,1.82232031,"alfalfa","1"
21,"A4","4-year","Pioneer 55H94","12-Apr-17","9-Jul-18",13.90020367,2018,796,2094.736842,1.047368421,0.901782077,2,2.348359688,2.019991853,"alfalfa","2"
31,"A4","4-year","Pioneer 55H94","12-Apr-17","9-Jul-18",12.51668001,2018,721,1897.368421,0.948684211,0.829940444,2,2.127094642,1.859066594,"alfalfa","3"
43,"A4","4-year","Pioneer 55H94","12-Apr-17","9-Jul-18",11.96333816,2018,788,2073.684211,1.036842105,0.912801178,2,2.324758084,2.044674639,"alfalfa","4"
12,"A4","4-year","Pioneer 55H94","12-Apr-17","10-Sep-18",16.28705712,2018,1189,3128.947368,1.564473684,1.309666962,3,3.50778853,2.933653994,"alfalfa","1"
21,"A4","4-year","Pioneer 55H94","12-Apr-17","10-Sep-18",19.18682796,2018,1190,3131.578947,1.565789474,1.265364141,3,3.51073873,2.834415676,"alfalfa","2"
31,"A4","4-year","Pioneer 55H94","12-Apr-17","10-Sep-18",15.84773218,2018,1088,2863.157895,1.431578947,1.20470615,3,3.209818268,2.698541776,"alfalfa","3"
43,"A4","4-year","Pioneer 55H94","12-Apr-17","10-Sep-18",20.53654024,2018,1346,3542.105263,1.771052632,1.407339695,3,3.970970026,3.152440917,"alfalfa","4"
17,"A4","4-year","Pioneer 55H94","24-Apr-18","7-Jun-19",15.91328413,2019,841,2213.157895,1.106578947,0.930485895,1,2.481118716,2.084288406,"alfalfa","1"
22,"A4","4-year","Pioneer 55H94","24-Apr-18","7-Jun-19",16.38738995,2019,1144,3010.526316,1.505263158,1.258589814,1,3.375029502,2.819241184,"alfalfa","2"
39,"A4","4-year","Pioneer 55H94","24-Apr-18","7-Jun-19",19.5547395,2019,1450,3815.789474,1.907894737,1.534810891,1,4.27779089,3.437976396,"alfalfa","3"
41,"A4","4-year","Pioneer 55H94","24-Apr-18","7-Jun-19",13.81081081,2019,1154,3036.842105,1.518421053,1.308714794,1,3.404531508,2.931521138,"alfalfa","4"
17,"A4","4-year","Pioneer 55H94","24-Apr-18","12-Jul-19",9.396325459,2019,496,1305.263158,0.652631579,0.591308192,2,1.463299504,1.324530349,"alfalfa","1"
22,"A4","4-year","Pioneer 55H94","24-Apr-18","12-Jul-19",8.85400314,2019,570,1500,0.75,0.683594976,2,1.68161435,1.531252747,"alfalfa","2"
39,"A4","4-year","Pioneer 55H94","24-Apr-18","12-Jul-19",9.567842989,2019,571,1502.631579,0.751315789,0.679431074,2,1.68456455,1.521925607,"alfalfa","3"
