Bayer code,Scientific name,Common name,Life cycle
ABUTH,Abutilon theophrasti Medicus,Velvetleaf,annual 
AMARE,Amaranthus retrofelxus L.,Redroot pigweed,summer annual
AMATA,Amaranthus tuberculatus (Moq.) Sauer var. rudis,Common waterhemp,summer annual
AMBEL,Ambrosia artemissifolia L.,Common ragweed,"erect, branching, summer annual"
ARFMI,Arctium minus (Hill) Bernh.,Common burdock,biennial
CHEAL,Chenopodium album L.,Common lambsquarter,erect summer annual
CIRAR,Cirsium arvense (L.) Scop.,Canada thistle,rhizomatous perennial
CIRVU,Cirsium vulgare (Savi) Tenore,Bull thistle,biennial
EPHHT,Euphorbia humistrata Engelm. ex Gray,Prostrate spurge,mat-forming summer annual
EPHMA,Euphorbia maculata L.,Spotted spurge,mat-forming summer annual
EUPHY,Eupatorium hyssopifolium L.,Hyssopleaved boneset,summer annual
MORAL,Morus alba L.,White mulberry,perennial shrub
PHYSU,Physalis subglabrata Mackenz. & Bush,Smooth groundcherry,rhizomatous perennial
PLAMA,Plantago major L.,Broadleaf plantain,rosette-forming perennial
POLPE,Polygonum perfoliatum L.,Mile-a-minute,spiny summer annual vine
POLPY,Polygonum pensylvanicum L.,Pennsylvania smartweed,ascending much-branched summer annual
POROL,Portulaca oleracea L.,Common purslane,prostrate mat-forming summer annual
SOLPT,Solanum ptycanthum Dun.,Eastern black nightshade,erect branching summer annual
SONAR,Sonchus arvensis L.,Perennial sowthistle,rhizomatous perennial
TAROF,Taraxacum officinale Weber in Wiggers,Dandelion,tap-rooted perennial
AGRRE,Elytrigia repens (L.) Nevski,Quackgrass,rhizomatous perennial
BROTE,Bromus tectorum L.,Downy brome,summer or winter annual
CCHPA,Cenchrus longispinus (Hack.) Fern.,Longspine sandbur,summer annual
CONAR,Convolvulus arvensis L.,Field bindweed,rhizomatous perennial
CYPES,Cyperus esculentus L.,Yellow nutsedge,rhizomatous perennial
DACGL,Dactylis glomerata L.,Orchardgrass,clump-forming perennial
DIGSA,Digitaria sanguinalis (L.) Scop.,Large crabgrass,summer annual
ECHCG,Echinochloa crus-galli (L.) Beauv.,Barnyardgrass,summer annual
ERBVI,Eriochloa villosa (Thunb.) Kunth,Woolly cupgrass,erect summer annual
FESSP,Festuca spp.,Fescue,clump-forming perennial
PANCA,Panicum capillare L.,Witchgrass,summer annual
PANDI,Panicum dichotomiflorum Michx.,Fall panicum,summer annual
SETFA,Setaria faberi Herrm.,Giant foxtail,"clump-forming, erect summer annual"
SETLU,Setaria glauca (L.) Beauv.,Yellow foxtail,"clump-forming, erect summer annual"
