Plot,Side,Crop,Crop_ID,sample area (m^2),Corn_weed_management,Year,Block,DIGSA,SETFA,SETLU,PANCA,ECHCG,ERBVI,CYPES,AMATA,CHEAL,SOLPT,PHYSU,POLPY,ABUTH,TAROF,EPHHT,CIRAR,SONAR,PLAMA,PANDI,EPHMA,FESSP,CIRVU,MORAL,AMARE,AMBEL,POROL,POPDE,BROTE,CCHPA,EUPHY,AGRRE,DACGL,CONAR,ARFMI,Total
11,E,corn,C3,18.532,low,2017,1,0,0.4851068422188647,0,0,0,0,0,0,0.13058493416792574,0.014029786315562271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6297215627023527
11,W,corn,C3,18.532,conv,2017,1,0.008633714655730628,0.019425857975393913,0,0,0,0,0,0.07932225339952514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10738182603064969
12,E,oat,O4,2,low,2017,1,0,0,23.01,0,0,0,0,0.275,6.52,0,0,0,0,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.17
12,W,oat,O4,2,conv,2017,1,0.83,0,15.47,0,0,0,0,1.175,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.395
13,E,soybean,S2,18.532,conv,2017,1,0.02859917979710771,0,0,0,0,0.047485430606518456,0,7.52050507230736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.596589682710986
13,W,soybean,S2,18.532,low,2017,1,0,5.464062162745521,0,0,0.3345564429095618,0,0,1.4445283833369307,1.3393049859702137,0,0,0,5.07500539607166,0,0,0,0,0,0,0.043168573278653144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.700625944312542
14,E,corn,C4,18.532,conv,2017,1,0,0.08040146773149147,0.10144614720483487,0,0,0,0,0.09065400388517159,0,0,0,0.018346643643427585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2908482624649255
14,W,corn,C4,18.532,low,2017,1,0,0.23364990287071014,0,0,0,0,0,0.07824303906755882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31189294193826894
15,E,oat,O3,2,low,2017,1,0,0.42,0.07,0,0,0,0,0.77,4.055,0,0.045,0,0,0,0,1.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.614999999999999
15,W,oat,O3,2,conv,2017,1,0,0.9,0.17,0,0,0,0,1.305,8.455,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98
16,E,soybean,S3,18.532,low,2017,1,0,3.3563565724152817,0,0,0,0,0,6.960392834016837,2.29872652708828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.615475933520399
16,W,soybean,S3,18.532,conv,2017,1,0,5.142995898985538,0.09766889704295273,0,0,0,0,0.3577595510468379,0.02913878696309087,0.024282322469242393,0,0,0.9124757176775308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.564321174185194
17,E,soybean,S4,18.532,conv,2017,1,0,0,0,0,0,0,0,0,0.12357004101014461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12357004101014461
17,W,soybean,S4,18.532,low,2017,1,0,0.5309734513274336,0,0,0,0,0,1.0981005827757393,0,0,0,0,2.822145478091949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.451219512195122
18,E,alfalfa,A4,2,conv,2017,1,12.375,0,0.91,0,0,0,0,0,0.98,0,0,0,0,6.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.37
18,W,alfalfa,A4,2,low,2017,1,2.305,0,2.46,0,0,0.215,0,0,0.16,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82
19,E,corn,C2,18.532,conv,2017,1,0.011871357651629614,1.1515216922080724,0.2282538312108785,0,0,0,0,0.8336930714439887,0.0037772501618821503,0,0,0,0,0.005935678825814807,0,0.18994172242607382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42499460392834
19,W,corn,C2,18.532,low,2017,1,0.03291603712497302,1.3420030218001295,0,0,0,0,0,0.04478739477660263,0.004316857327865314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4240233110295706
21,E,oat,O4,2,conv,2017,2,8.895,0,15.515,0,0,0.815,0,10.235,8.575,0.13,0.675,0,0,1.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.815
21,W,oat,O4,2,low,2017,2,0.75,0.525,32.22,0,0,2.04,0,1.605,9.94,0,0.065,0.09,3.57,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.585
22,E,soybean,S4,18.532,low,2017,2,0,0.6275631340384201,0.010792143319663286,0,0,0,0.6048996330671271,0.019425857975393913,0.01025253615368012,0.022663500971292896,0,0.043708180444636306,0.03291603712497302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3722210230951868
22,W,soybean,S4,18.532,conv,2017,2,0,0,0,0,0,0,0,0,0,0,0.03669328728685517,0,2.862076408374703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8987696956615583
23,E,corn,C3,18.532,low,2017,2,0,0,0.04208935894668681,0,0,0,0,0,0.015109000647528601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05719835959421542
23,W,corn,C3,18.532,conv,2017,2,0.04532700194258579,0,0.0847183250593568,0,0,0,0,0.023203108137276062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15324843513921865
24,E,soybean,S2,18.532,low,2017,2,0.17807036477444418,0.6885387437945176,1.5600043168573279,0,0,0,0,22.13306712713145,10.033455644290957,0.022663500971292896,0,0,0,0,0.004316857327865314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62011655514785
24,W,soybean,S2,18.532,conv,2017,2,0,3.2646233541981435,0.06906971724584503,0,0,0,0,1.142887977552342,7.988344485214763,0.014569393481545435,0,0,3.20256853011008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68206345780272
25,E,soybean,S3,18.532,low,2017,2,0,0.20774875890351824,0.02050507230736024,0,0,0,0,0,1.8638031513058493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0920569825167274
25,W,soybean,S3,18.532,conv,2017,2,0,5.1230304338441615,0,0,0,0,0,0.5903302395855816,0.07662421756960933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.789984890999352
26,E,oat,O3,2,low,2017,2,0.13,0,10.195,0,0,0,0,0,18.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.105
26,W,oat,O3,2,conv,2017,2,0,0,0.55,0,0,0,0,0.785,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.485
27,E,corn,C2,18.532,low,2017,2,0.051262680768400605,0.7128210662637601,0.4996762357004101,0,0,0.11385711202244765,0,0.9540254694582344,0.09551046837902008,0,0,0,0,0,0,0,0,0,0.015109000647528601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4422620332398015
27,W,corn,C2,18.532,conv,2017,2,0.3313187999136628,0.34804662205914094,0.011331750485646448,0,0,0,0,1.4650334556442908,0.10522339736671703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.260954025469458
28,E,alfalfa,A4,2,low,2017,2,0.11,0,0.205,0,0,0,0,0,0,0,0,0,0,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.055
28,W,alfalfa,A4,2,conv,2017,2,0.19,0,2.93,0,0,0,0,0.155,0,0,0,0,0,19.995,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.43
29,E,corn,C4,18.532,low,2017,2,0,0.14299589898553852,0,0,0,0.006475285991797971,0,0.09605007554500324,0.2282538312108785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4737750917332183
29,W,corn,C4,18.532,conv,2017,2,0,0.0016188214979494927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016188214979494927
31,E,oat,O4,2,low,2017,3,0.255,14.11,0.35,0,0,0.175,0,5.575,10.22,0.2,0,0,0.26,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.27
31,W,oat,O4,2,conv,2017,3,0.205,27.1,0,0,0.955,0,0,3.03,3.905,0.16,0,0,0.68,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.255
32,E,corn,C4,18.532,conv,2017,3,0,0.02644075113317505,0,0,0,0,0,0.14731275631340385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1737535074465789
32,W,corn,C4,18.532,low,2017,3,0,0,0,0,0,0,0,0.012410964817612778,0,0.02644075113317505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038851715950787825
33,E,soybean,S3,18.532,low,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
