"Plot","Crop_ID","Rot","Variety","Planted","Harvested","Moisture","Year","Bale_lbs","Fresh_lb_p_ac","Fresh_ton_p_ac","Dry_ton_p_ac","Crop","Block"
15,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",27.1,2017,176,440,0.22,0.16038,"oat straw","1"
26,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",27.09815078,2017,230,575,0.2875,0.209592817,"oat straw","2"
36,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",23.22553549,2017,130,325,0.1625,0.124758505,"oat straw","3"
47,"O3","3-year","INO9201","12-Apr-17","17-Jul-17",23.7414745,2017,228,570,0.285,0.217336798,"oat straw","4"
12,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",27.50893147,2017,192,480,0.24,0.173978564,"oat straw","1"
21,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",21.24613003,2017,215,537.5,0.26875,0.211651026,"oat straw","2"
31,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",19.89082224,2017,180,450,0.225,0.18024565,"oat straw","3"
43,"O4","4-year","INO9201","12-Apr-17","17-Jul-17",20.82820828,2017,250,625,0.3125,0.247411849,"oat straw","4"
16,"O3","3-year","INO9201","24-Apr-18","20-Jul-18",8.79491761,2018,1706,4489.473684,2.244736842,2.047314086,"oat straw","1"
25,"O3","3-year","INO9201","24-Apr-18","20-Jul-18",13.93152302,2018,1441,3792.105263,1.896052632,1.631903623,"oat straw","2"
33,"O3","3-year","INO9201","24-Apr-18","20-Jul-18",10.98998232,2018,1024,2694.736842,1.347368421,1.19929287,"oat straw","3"
42,"O3","3-year","INO9201","24-Apr-18","20-Jul-18",9.274983671,2018,1440,3789.473684,1.894736842,1.719000309,"oat straw","4"
17,"O4","4-year","INO9201","24-Apr-18","20-Jul-18",9.4092827,2018,1383,3639.473684,1.819736842,1.648512658,"oat straw","1"
22,"O4","4-year","INO9201","24-Apr-18","20-Jul-18",8.548305513,2018,1705,4486.842105,2.243421053,2.051646567,"oat straw","2"
39,"O4","4-year","INO9201","24-Apr-18","20-Jul-18",14.76690919,2018,1116,2936.842105,1.468421053,1.251580649,"oat straw","3"
41,"O4","4-year","INO9201","24-Apr-18","20-Jul-18",6.88172043,2018,1282,3373.684211,1.686842105,1.570758347,"oat straw","4"
11,"O3","3-year","INO9201","16-Apr-19","24-Jul-19",14.15577032,2019,626,1565,0.7825,0.671731097,"oat straw","1"
23,"O3","3-year","INO9201","16-Apr-19","24-Jul-19",16.42567958,2019,573,1432.5,0.71625,0.59860107,"oat straw","2"
38,"O3","3-year","INO9201","16-Apr-19","24-Jul-19",15.87248322,2019,634,1585,0.7925,0.66671057,"oat straw","3"
48,"O3","3-year","INO9201","16-Apr-19","24-Jul-19",12.65442404,2019,422,1055,0.5275,0.460747913,"oat straw","4"
14,"O4","4-year","INO9201","16-Apr-19","24-Jul-19",17.54822651,2019,453,1132.5,0.56625,0.466883167,"oat straw","1"
29,"O4","4-year","INO9201","16-Apr-19","24-Jul-19",12.84570597,2019,366,915,0.4575,0.398730895,"oat straw","2"
32,"O4","4-year","INO9201","16-Apr-19","24-Jul-19",14.2206313,2019,528,1320,0.66,0.566143833,"oat straw","3"
49,"O4","4-year","INO9201","16-Apr-19","24-Jul-19",13.00221449,2019,346,865,0.4325,0.376265422,"oat straw","4"
15,"O3","3-year","INO9201","2-Apr-20","24-Jul-20",7.897071872,2020,348,870,0.435,0.400647737,"oat straw","1"
26,"O3","3-year","INO9201","2-Apr-20","24-Jul-20",9.934790947,2020,339,847.5,0.42375,0.381651323,"oat straw","2"
36,"O3","3-year","INO9201","2-Apr-20","24-Jul-20",11.27012522,2020,152,380,0.19,0.168586762,"oat straw","3"
47,"O3","3-year","INO9201","2-Apr-20","24-Jul-20",11.42857143,2020,248,620,0.31,0.274571429,"oat straw","4"
18,"O4","4-year","INO9201","2-Apr-20","24-Jul-20",6.716697936,2020,381,952.5,0.47625,0.444261726,"oat straw","1"
28,"O4","4-year","INO9201","2-Apr-20","24-Jul-20",8.275426406,2020,321,802.5,0.40125,0.368044852,"oat straw","2"
37,"O4","4-year","INO9201","2-Apr-20","24-Jul-20",6.967213115,2020,225,562.5,0.28125,0.261654713,"oat straw","3"
46,"O4","4-year","INO9201","2-Apr-20","24-Jul-20",8.145663632,2020,117,292.5,0.14625,0.134336967,"oat straw","4"
