"Plot","Crop_ID","Rot","Corn_weed_management","Variety","Planted","Harvested","lb_p_plot","Moisture","Standard_moistrure","Standardized_yield_MgpHa","Standardized_yield_bu_ac","Year","bu_p_acre","Crop","Block"
13,"S2","2-year","conv","Latham 2758","16-May-17","19-Oct-17",263,11.5,13,3.283586998,48.86290176,2017,"48.86290176","soybean","1"
13,"S2","2-year","low","Latham 2758","16-May-17","19-Oct-17",282,12.5,13,3.48102121,51.80091087,2017,"51.80091087","soybean","1"
16,"S3","3-year","conv","Latham 2758","16-May-17","19-Oct-17",353,12.3,13,4.367408418,64.9911967,2017,"64.9911967","soybean","1"
16,"S3","3-year","low","Latham 2758","16-May-17","19-Oct-17",380,11.9,13,4.72290286,70.28129256,2017,"70.28129256","soybean","1"
17,"S4","4-year","conv","Latham 2758","16-May-17","19-Oct-17",393,12.1,13,4.873387372,72.52064541,2017,"72.52064541","soybean","1"
17,"S4","4-year","low","Latham 2758","16-May-17","19-Oct-17",390,11.9,13,4.847189777,72.13080026,2017,"72.13080026","soybean","1"
22,"S4","4-year","conv","Latham 2758","16-May-17","19-Oct-17",378,12.1,13,4.68738022,69.75268185,2017,"69.75268185","soybean","2"
22,"S4","4-year","low","Latham 2758","16-May-17","19-Oct-17",397,12.4,13,4.906187268,73.0087391,2017,"73.0087391","soybean","2"
24,"S2","2-year","conv","Latham 2758","16-May-17","19-Oct-17",365,12.8,13,4.490129405,66.81740187,2017,"66.81740187","soybean","2"
24,"S2","2-year","low","Latham 2758","16-May-17","19-Oct-17",308,12.8,13,3.788931115,56.38290349,2017,"56.38290349","soybean","2"
25,"S3","3-year","conv","Latham 2758","16-May-17","19-Oct-17",317,13.7,13,3.859397988,57.43151768,2017,"57.43151768","soybean","2"
25,"S3","3-year","low","Latham 2758","16-May-17","19-Oct-17",316,14.1,13,3.829391373,56.98499067,2017,"56.98499067","soybean","2"
33,"S3","3-year","conv","Latham 2758","16-May-17","19-Oct-17",349,12.4,13,4.31299586,64.18148601,2017,"64.18148601","soybean","3"
33,"S3","3-year","low","Latham 2758","16-May-17","19-Oct-17",323,12.9,13,3.968900264,59.06101583,2017,"59.06101583","soybean","3"
34,"S2","2-year","conv","Latham 2758","16-May-17","19-Oct-17",345,13.4,13,4.214892429,62.72161353,2017,"62.72161353","soybean","3"
34,"S2","2-year","low","Latham 2758","16-May-17","19-Oct-17",370,13.3,13,4.525539185,67.34433312,2017,"67.34433312","soybean","3"
39,"S4","4-year","conv","Latham 2758","16-May-17","19-Oct-17",409,12.2,13,5.06602504,75.38727738,2017,"75.38727738","soybean","3"
39,"S4","4-year","low","Latham 2758","16-May-17","19-Oct-17",430,12.7,13,5.295807709,78.80666233,2017,"78.80666233","soybean","3"
41,"S4","4-year","conv","Latham 2758","16-May-17","19-Oct-17",405,12,13,5.027906623,74.82003904,2017,"74.82003904","soybean","4"
41,"S4","4-year","low","Latham 2758","16-May-17","19-Oct-17",383,11.8,13,4.765592101,70.91654912,2017,"70.91654912","soybean","4"
42,"S3","3-year","conv","Latham 2758","16-May-17","19-Oct-17",402,12,13,4.990662871,74.26581653,2017,"74.26581653","soybean","4"
42,"S3","3-year","low","Latham 2758","16-May-17","19-Oct-17",416,12.1,13,5.158598338,76.76485621,2017,"76.76485621","soybean","4"
44,"S2","2-year","conv","Latham 2758","16-May-17","19-Oct-17",332,12.9,13,4.079488816,60.70667881,2017,"60.70667881","soybean","4"
44,"S2","2-year","low","Latham 2758","16-May-17","19-Oct-17",358,13.2,13,4.38381542,65.23534851,2017,"65.23534851","soybean","4"
11,"S3","3-year","conv","Latham 2758","17-May-18","29-Oct-18",257.5,12.7,13,3.171326709,47.19236174,2018,"47.19236174","soybean","1"
11,"S3","3-year","low","Latham 2758","17-May-18","29-Oct-18",215.1,12.6,13,2.652169957,39.46681483,2018,"39.46681483","soybean","1"
14,"S4","4-year","conv","Latham 2758","17-May-18","29-Oct-18",244.5,12.5,13,3.018119453,44.91249187,2018,"44.91249187","soybean","1"
14,"S4","4-year","low","Latham 2758","17-May-18","29-Oct-18",257.1,12.7,13,3.166400376,47.11905322,2018,"47.11905322","soybean","1"
19,"S2","2-year","conv","Latham 2758","17-May-18","29-Oct-18",165.8,12.8,13,2.039625905,30.35157597,2018,"30.35157597","soybean","1"
19,"S2","2-year","low","Latham 2758","17-May-18","29-Oct-18",195.9,12.8,13,2.40990781,35.86172336,2018,"35.86172336","soybean","1"
