Plot,Crop_ID,Rot,Variety,Planted,Harvested,Cut_n,Year,Bale_lbs,Fresh_lb_p_ac,Fresh_ton_p_ac,Dry_ton_p_ac,Moisture,Fresh_MgpHa,Dry_MgpHa
18,A4,4-year,Pioneer 55H94,29-Mar-16,5-Jun-17,1,2017,1711,4502.631579,2.251315789,1.82980154,18.7230175,5.04779325,4.09875545
28,A4,4-year,Pioneer 55H94,29-Mar-16,5-Jun-17,1,2017,1629,4286.842105,2.143421053,1.770465789,17.4,4.8058768,3.965843368
37,A4,4-year,Pioneer 55H94,29-Mar-16,5-Jun-17,1,2017,1839,4839.473684,2.419736842,1.943040027,19.70035778,5.425418928,4.35240966
46,A4,4-year,Pioneer 55H94,29-Mar-16,5-Jun-17,1,2017,1833,4823.684211,2.411842105,1.91595559,20.56048835,5.407717725,4.291740522
18,A4,4-year,Pioneer 55H94,29-Mar-16,7-Jul-17,2,2017,1074,2826.315789,1.413157895,1.243404151,12.01236917,3.168515459,2.785225299
28,A4,4-year,Pioneer 55H94,29-Mar-16,7-Jul-17,2,2017,1221,3213.157895,1.606578947,1.397072368,13.04054054,3.602194949,3.129442105
37,A4,4-year,Pioneer 55H94,29-Mar-16,7-Jul-17,2,2017,1152,3031.578947,1.515789474,1.350347243,10.91459158,3.398631107,3.024777825
46,A4,4-year,Pioneer 55H94,29-Mar-16,7-Jul-17,2,2017,1152,3031.578947,1.515789474,1.349207832,10.98976109,3.398631107,3.022225543
18,A4,4-year,Pioneer 55H94,29-Mar-16,7-Aug-17,3,2017,584,1536.842105,0.768421053,0.619219726,19.416611,1.722917158,1.387052186
28,A4,4-year,Pioneer 55H94,29-Mar-16,7-Aug-17,3,2017,591,1555.263158,0.777631579,0.607003486,21.94202215,1.743568563,1.359687808
37,A4,4-year,Pioneer 55H94,29-Mar-16,7-Aug-17,3,2017,584,1536.842105,0.768421053,0.618664873,19.48881789,1.722917158,1.385809316
46,A4,4-year,Pioneer 55H94,29-Mar-16,7-Aug-17,3,2017,645,1697.368421,0.848684211,0.667929967,21.29817444,1.902879396,1.496163126
18,A4,4-year,Pioneer 55H94,29-Mar-16,11-Sep-17,4,2017,437,1150,0.575,0.488783547,14.99416569,1.289237668,1.094875146
28,A4,4-year,Pioneer 55H94,29-Mar-16,11-Sep-17,4,2017,370,973.6842105,0.486842105,0.388530288,20.19377868,1.091574227,0.870307845
37,A4,4-year,Pioneer 55H94,29-Mar-16,11-Sep-17,4,2017,366,963.1578947,0.481578947,0.411184406,14.61744567,1.079773425,0.92105307
46,A4,4-year,Pioneer 55H94,29-Mar-16,11-Sep-17,4,2017,420,1105.263158,0.552631579,0.446258442,19.24847245,1.239084258,0.999618909
12,A4,4-year,Pioneer 55H94,12-Apr-17,4-Jun-18,1,2018,1609,4234.210526,2.117105263,1.785796861,15.64912281,4.746872787,4.000184968
21,A4,4-year,Pioneer 55H94,12-Apr-17,4-Jun-18,1,2018,1585,4171.052632,2.085526316,1.681744825,19.36113143,4.676067973,3.767108407
31,A4,4-year,Pioneer 55H94,12-Apr-17,4-Jun-18,1,2018,1663,4376.315789,2.188157895,1.846850771,15.59792028,4.90618362,4.136945727
43,A4,4-year,Pioneer 55H94,12-Apr-17,4-Jun-18,1,2018,1513,3981.578947,1.990789474,1.586283349,20.31888003,4.463653528,3.553274701
12,A4,4-year,Pioneer 55H94,12-Apr-17,9-Jul-18,2,2018,699,1839.473684,0.919736842,0.813535853,11.54688869,2.062190229,1.82232031
21,A4,4-year,Pioneer 55H94,12-Apr-17,9-Jul-18,2,2018,796,2094.736842,1.047368421,0.901782077,13.90020367,2.348359688,2.019991853
31,A4,4-year,Pioneer 55H94,12-Apr-17,9-Jul-18,2,2018,721,1897.368421,0.948684211,0.829940444,12.51668001,2.127094642,1.859066594
43,A4,4-year,Pioneer 55H94,12-Apr-17,9-Jul-18,2,2018,788,2073.684211,1.036842105,0.912801178,11.96333816,2.324758084,2.044674639
12,A4,4-year,Pioneer 55H94,12-Apr-17,10-Sep-18,3,2018,1189,3128.947368,1.564473684,1.309666962,16.28705712,3.50778853,2.933653994
21,A4,4-year,Pioneer 55H94,12-Apr-17,10-Sep-18,3,2018,1190,3131.578947,1.565789474,1.265364141,19.18682796,3.51073873,2.834415676
31,A4,4-year,Pioneer 55H94,12-Apr-17,10-Sep-18,3,2018,1088,2863.157895,1.431578947,1.20470615,15.84773218,3.209818268,2.698541776
43,A4,4-year,Pioneer 55H94,12-Apr-17,10-Sep-18,3,2018,1346,3542.105263,1.771052632,1.407339695,20.53654024,3.970970026,3.152440917
17,A4,4-year,Pioneer 55H94,24-Apr-18,7-Jun-19,1,2019,841,2213.157895,1.106578947,0.930485895,15.91328413,2.481118716,2.084288406
22,A4,4-year,Pioneer 55H94,24-Apr-18,7-Jun-19,1,2019,1144,3010.526316,1.505263158,1.258589814,16.38738995,3.375029502,2.819241184
39,A4,4-year,Pioneer 55H94,24-Apr-18,7-Jun-19,1,2019,1450,3815.789474,1.907894737,1.534810891,19.5547395,4.27779089,3.437976396
41,A4,4-year,Pioneer 55H94,24-Apr-18,7-Jun-19,1,2019,1154,3036.842105,1.518421053,1.308714794,13.81081081,3.404531508,2.931521138
17,A4,4-year,Pioneer 55H94,24-Apr-18,12-Jul-19,2,2019,496,1305.263158,0.652631579,0.591308192,9.396325459,1.463299504,1.324530349
22,A4,4-year,Pioneer 55H94,24-Apr-18,12-Jul-19,2,2019,570,1500,0.75,0.683594976,8.85400314,1.68161435,1.531252747
39,A4,4-year,Pioneer 55H94,24-Apr-18,12-Jul-19,2,2019,571,1502.631579,0.751315789,0.679431074,9.567842989,1.68456455,1.521925607
41,A4,4-year,Pioneer 55H94,24-Apr-18,12-Jul-19,2,2019,709,1865.789474,0.932894737,0.840330421,9.922267947,2.091692235,1.882340144
17,A4,4-year,Pioneer 55H94,24-Apr-18,26-Aug-19,3,2019,623,1639.473684,0.819736842,0.626492541,23.57394366,1.837974982,1.403343291
22,A4,4-year,Pioneer 55H94,24-Apr-18,26-Aug-19,3,2019,689,1813.157895,0.906578947,0.714258543,21.21386177,2.032688223,1.599939136
39,A4,4-year,Pioneer 55H94,24-Apr-18,26-Aug-19,3,2019,648,1705.263158,0.852631579,0.642547092,24.63953861,1.911729998,1.439305486
