Plot,Crop_ID,Rot,Corn_weed_management,Variety,Planted,Harvested,lb_p_plot,Moisture,Standard_moistrure,Standardized_yield_MgpHa,Standardized_yield_bu_ac,Year
11,C3,3-year,conv,Eply1420,9-May-17,19-Oct-17,1200,17.7,15.5,13.82312748,220.3942519,2017
11,C3,3-year,low,Eply1420,9-May-17,19-Oct-17,1215,18.3,15.5,13.89388073,221.5223331,2017
14,C4,4-year,conv,Eply1420,9-May-17,19-Oct-17,970,17.4,15.5,11.21442507,178.8014201,2017
14,C4,4-year,low,Eply1420,9-May-17,19-Oct-17,950,17.6,15.5,10.95660611,174.6907861,2017
19,C2,2-year,conv,Eply1420,9-May-17,19-Oct-17,970,17.2,15.5,11.24157864,179.2343533,2017
19,C2,2-year,low,Eply1420,9-May-17,19-Oct-17,965,17.2,15.5,11.18363236,178.3104649,2017
23,C3,3-year,conv,Eply1420,9-May-17,19-Oct-17,1060,17.9,15.5,12.1807563,194.2084869,2017
23,C3,3-year,low,Eply1420,9-May-17,19-Oct-17,1075,18.2,15.5,12.30798618,196.2370245,2017
27,C2,2-year,conv,Eply1420,9-May-17,19-Oct-17,1010,17.6,15.5,11.64860228,185.7238884,2017
27,C2,2-year,low,Eply1420,9-May-17,19-Oct-17,1000,17.8,15.5,11.50527621,183.4387151,2017
29,C4,4-year,conv,Eply1420,9-May-17,19-Oct-17,1170,18,15.5,13.42842092,214.1010989,2017
29,C4,4-year,low,Eply1420,9-May-17,19-Oct-17,1175,18,15.5,13.48580734,215.0160609,2017
32,C4,4-year,conv,Eply1420,9-May-17,19-Oct-17,1090,17,15.5,12.66280218,201.8941674,2017
32,C4,4-year,low,Eply1420,9-May-17,19-Oct-17,1030,17.3,15.5,11.92251743,190.0911581,2017
35,C2,2-year,conv,Eply1420,9-May-17,19-Oct-17,1055,17.2,15.5,12.22666543,194.9404565,2017
35,C2,2-year,low,Eply1420,9-May-17,19-Oct-17,1010,17.3,15.5,11.69101224,186.4000676,2017
38,C3,3-year,conv,Eply1420,9-May-17,19-Oct-17,1155,18.4,15.5,13.19159699,210.3252071,2017
38,C3,3-year,low,Eply1420,9-May-17,19-Oct-17,1175,18.2,15.5,13.45291512,214.4916314,2017
45,C2,2-year,conv,Eply1420,9-May-17,19-Oct-17,1070,17,15.5,12.43045718,198.1896872,2017
45,C2,2-year,low,Eply1420,9-May-17,19-Oct-17,1075,16.8,15.5,12.51863631,199.5956044,2017
48,C3,3-year,conv,Eply1420,9-May-17,19-Oct-17,1315,18.7,15.5,14.96378744,238.5807946,2017
48,C3,3-year,low,Eply1420,9-May-17,19-Oct-17,1230,18.6,15.5,14.01376235,223.4337109,2017
49,C4,4-year,conv,Eply1420,9-May-17,19-Oct-17,1240,17.7,15.5,14.2838984,227.740727,2017
49,C4,4-year,low,Eply1420,9-May-17,19-Oct-17,1280,18,15.5,14.69092204,234.230262,2017
13,C2,2-year,conv,Eply1420,8-May-18,30-Oct-18,920,14.8,15.5,10.97116266,174.922874,2018
13,C2,2-year,low,Eply1420,8-May-18,30-Oct-18,1022,14.8,15.5,12.18753069,194.316497,2018
15,C3,3-year,conv,Eply1420,8-May-18,30-Oct-18,1055,14.9,15.5,12.56629502,200.3554691,2018
15,C3,3-year,low,Eply1420,8-May-18,30-Oct-18,1092,15.1,15.5,12.97643993,206.8947692,2018
18,C4,4-year,conv,Eply1420,8-May-18,30-Oct-18,1180,15.1,15.5,14.02216036,223.5676078,2018
18,C4,4-year,low,Eply1420,8-May-18,30-Oct-18,1234,15.4,15.5,14.61203671,232.9725241,2018
24,C2,2-year,conv,Eply1420,8-May-18,30-Oct-18,1082,14.9,15.5,12.88789689,205.4830499,2018
24,C2,2-year,low,Eply1420,8-May-18,30-Oct-18,1128,14.9,15.5,13.43581117,214.2189281,2018
26,C3,3-year,conv,Eply1420,8-May-18,30-Oct-18,1107,15.3,15.5,13.12369906,209.2426509,2018
26,C3,3-year,low,Eply1420,8-May-18,30-Oct-18,1099,15.2,15.5,13.04423988,207.9757633,2018
28,C4,4-year,conv,Eply1420,8-May-18,30-Oct-18,1162,15.2,15.5,13.79199885,219.8979408,2018
