Plot,Crop_ID,Corn_weed_management,Rot,Variety,Planted,Harvested,lb_p_plot,Moisture, bu_p_acre,Standard_moistrure,Standardized_yield_MgpHa,Standardized_yield_bu_ac,Year
13,S2,conv,2-year,Latham 2758,16-May-17,19-Oct-17,263,11.5,48.86290176,13,3.283586998,48.86290176,2017
13,S2,low,2-year,Latham 2758,16-May-17,19-Oct-17,282,12.5,51.80091087,13,3.48102121,51.80091087,2017
16,S3,conv,3-year,Latham 2758,16-May-17,19-Oct-17,353,12.3,64.9911967,13,4.367408418,64.9911967,2017
16,S3,low,3-year,Latham 2758,16-May-17,19-Oct-17,380,11.9,70.28129256,13,4.72290286,70.28129256,2017
17,S4,conv,4-year,Latham 2758,16-May-17,19-Oct-17,393,12.1,72.52064541,13,4.873387372,72.52064541,2017
17,S4,low,4-year,Latham 2758,16-May-17,19-Oct-17,390,11.9,72.13080026,13,4.847189777,72.13080026,2017
22,S4,conv,4-year,Latham 2758,16-May-17,19-Oct-17,378,12.1,69.75268185,13,4.68738022,69.75268185,2017
22,S4,low,4-year,Latham 2758,16-May-17,19-Oct-17,397,12.4,73.0087391,13,4.906187268,73.0087391,2017
24,S2,conv,2-year,Latham 2758,16-May-17,19-Oct-17,365,12.8,66.81740187,13,4.490129405,66.81740187,2017
24,S2,low,2-year,Latham 2758,16-May-17,19-Oct-17,308,12.8,56.38290349,13,3.788931115,56.38290349,2017
25,S3,conv,3-year,Latham 2758,16-May-17,19-Oct-17,317,13.7,57.43151768,13,3.859397988,57.43151768,2017
25,S3,low,3-year,Latham 2758,16-May-17,19-Oct-17,316,14.1,56.98499067,13,3.829391373,56.98499067,2017
33,S3,conv,3-year,Latham 2758,16-May-17,19-Oct-17,349,12.4,64.18148601,13,4.31299586,64.18148601,2017
33,S3,low,3-year,Latham 2758,16-May-17,19-Oct-17,323,12.9,59.06101583,13,3.968900264,59.06101583,2017
34,S2,conv,2-year,Latham 2758,16-May-17,19-Oct-17,345,13.4,62.72161353,13,4.214892429,62.72161353,2017
34,S2,low,2-year,Latham 2758,16-May-17,19-Oct-17,370,13.3,67.34433312,13,4.525539185,67.34433312,2017
39,S4,conv,4-year,Latham 2758,16-May-17,19-Oct-17,409,12.2,75.38727738,13,5.06602504,75.38727738,2017
39,S4,low,4-year,Latham 2758,16-May-17,19-Oct-17,430,12.7,78.80666233,13,5.295807709,78.80666233,2017
41,S4,conv,4-year,Latham 2758,16-May-17,19-Oct-17,405,12,74.82003904,13,5.027906623,74.82003904,2017
41,S4,low,4-year,Latham 2758,16-May-17,19-Oct-17,383,11.8,70.91654912,13,4.765592101,70.91654912,2017
42,S3,conv,3-year,Latham 2758,16-May-17,19-Oct-17,402,12,74.26581653,13,4.990662871,74.26581653,2017
42,S3,low,3-year,Latham 2758,16-May-17,19-Oct-17,416,12.1,76.76485621,13,5.158598338,76.76485621,2017
44,S2,conv,2-year,Latham 2758,16-May-17,19-Oct-17,332,12.9,60.70667881,13,4.079488816,60.70667881,2017
44,S2,low,2-year,Latham 2758,16-May-17,19-Oct-17,358,13.2,65.23534851,13,4.38381542,65.23534851,2017
11,S3,conv,3-year,Latham 2758,17-May-18,29-Oct-18,257.5,12.7,47.19236174,13,3.171326709,47.19236174,2018
11,S3,low,3-year,Latham 2758,17-May-18,29-Oct-18,215.1,12.6,39.46681483,13,2.652169957,39.46681483,2018
14,S4,conv,4-year,Latham 2758,17-May-18,29-Oct-18,244.5,12.5,44.91249187,13,3.018119453,44.91249187,2018
14,S4,low,4-year,Latham 2758,17-May-18,29-Oct-18,257.1,12.7,47.11905322,13,3.166400376,47.11905322,2018
19,S2,conv,2-year,Latham 2758,17-May-18,29-Oct-18,165.8,12.8,30.35157597,13,2.039625905,30.35157597,2018
19,S2,low,2-year,Latham 2758,17-May-18,29-Oct-18,195.9,12.8,35.86172336,13,2.40990781,35.86172336,2018
23,S3,conv,3-year,Latham 2758,17-May-18,29-Oct-18,228.3,13,41.6970566,13,2.802042204,41.6970566,2018
23,S3,low,3-year,Latham 2758,17-May-18,29-Oct-18,246.9,13,45.09418868,13,3.030329479,45.09418868,2018
27,S2,conv,2-year,Latham 2758,17-May-18,29-Oct-18,210.7,13.2,38.39410037,13,2.580083545,38.39410037,2018
27,S2,low,2-year,Latham 2758,17-May-18,29-Oct-18,223.2,13,40.76558491,13,2.739447306,40.76558491,2018
29,S4,conv,4-year,Latham 2758,17-May-18,29-Oct-18,255.7,13,46.70143396,13,3.138336362,46.70143396,2018
29,S4,low,4-year,Latham 2758,17-May-18,29-Oct-18,297.9,12.9,54.47144463,13,3.660481079,54.47144463,2018
32,S4,conv,4-year,Latham 2758,17-May-18,29-Oct-18,301.5,12.8,55.19300455,13,3.708969906,55.19300455,2018
32,S4,low,4-year,Latham 2758,17-May-18,29-Oct-18,206.2,12.8,37.74725552,13,2.536615571,37.74725552,2018
35,S2,conv,2-year,Latham 2758,17-May-18,29-Oct-18,190.3,12.6,34.91648007,13,2.346387461,34.91648007,2018
35,S2,low,2-year,Latham 2758,17-May-18,29-Oct-18,170.5,12.5,31.31934504,13,2.104659987,31.31934504,2018
38,S3,conv,3-year,Latham 2758,17-May-18,29-Oct-18,237.4,12.6,43.5584465,13,2.927127605,43.5584465,2018
38,S3,low,3-year,Latham 2758,17-May-18,29-Oct-18,222.7,12.7,40.81452023,13,2.74273576,40.81452023,2018
45,S2,conv,2-year,Latham 2758,17-May-18,29-Oct-18,199.5,12.7,36.56262589,13,2.45700846,36.56262589,2018
