"State","County","Commodity","Value","Year","Yield_Mg_p_ha"
"Iowa","Boone","oats",113,"2020",4.52
"Iowa","Hamilton","oats",117.6,"2020",4.704
"Iowa","Hardin","oats",67.2,"2020",2.688
"Iowa","Benton","oats",79.2,"2020",3.168
"Iowa","Clinton","oats",72,"2020",2.88
"Iowa","Iowa","oats",69.4,"2020",2.776
"Iowa","Jackson","oats",61.7,"2020",2.468
"Iowa","Johnson","oats",82.2,"2020",3.288
"Iowa","Jones","oats",68,"2020",2.72
"Iowa","Linn","oats",78.3,"2020",3.132
"Iowa","Butler","oats",70.5,"2020",2.82
"Iowa","Mitchell","oats",89.6,"2020",3.584
"Iowa","Winnebago","oats",72.5,"2020",2.9
"Iowa","Worth","oats",84.3,"2020",3.372
"Iowa","Allamakee","oats",62.4,"2020",2.496
"Iowa","Black Hawk","oats",77.3,"2020",3.092
"Iowa","Bremer","oats",90.1,"2020",3.604
"Iowa","Buchanan","oats",72.6,"2020",2.904
"Iowa","Chickasaw","oats",76.2,"2020",3.048
"Iowa","Clayton","oats",64.2,"2020",2.568
"Iowa","Delaware","oats",81.8,"2020",3.272
"Iowa","Dubuque","oats",59.5,"2020",2.38
"Iowa","Fayette","oats",70,"2020",2.8
"Iowa","Howard","oats",77.5,"2020",3.1
"Iowa","Winneshiek","oats",62.5,"2020",2.5
"Iowa","Lyon","oats",79.9,"2020",3.196
"Iowa","O Brien","oats",80,"2020",3.2
"Iowa","Plymouth","oats",94.4,"2020",3.776
"Iowa","Sioux","oats",105.9,"2020",4.236
"Iowa","Monroe","oats",73.8,"2020",2.952
"Iowa","Davis","oats",67.9,"2020",2.716
"Iowa","Van Buren","oats",62.7,"2020",2.508
"Iowa","Washington","oats",80.8,"2020",3.232
"Iowa","Audubon","oats",74.7,"2020",2.988
"Iowa","Greene","oats",82.7,"2020",3.308
"Iowa","Shelby","oats",98.4,"2020",3.936
"Iowa","Jasper","oats",61.1,"2019",2.444
"Iowa","Other (Combined) Counties","oats",62.6,"2019",2.504
"Iowa","Benton","oats",65.2,"2019",2.608
"Iowa","Clinton","oats",64.4,"2019",2.576
"Iowa","Johnson","oats",54.2,"2019",2.168
"Iowa","Jones","oats",64.3,"2019",2.572
"Iowa","Linn","oats",66.1,"2019",2.644
"Iowa","Other (Combined) Counties","oats",59.3,"2019",2.372
"Iowa","Kossuth","oats",52.1,"2019",2.084
"Iowa","Other (Combined) Counties","oats",53.2,"2019",2.128
"Iowa","Allamakee","oats",60.2,"2019",2.408
"Iowa","Bremer","oats",77,"2019",3.08
"Iowa","Buchanan","oats",61.2,"2019",2.448
"Iowa","Chickasaw","oats",60.5,"2019",2.42
"Iowa","Clayton","oats",60.3,"2019",2.412
"Iowa","Dubuque","oats",64.2,"2019",2.568
"Iowa","Fayette","oats",64.8,"2019",2.592
"Iowa","Other (Combined) Counties","oats",70.1,"2019",2.804
"Iowa","Winneshiek","oats",59.9,"2019",2.396
"Iowa","Lyon","oats",69.2,"2019",2.768
"Iowa","O Brien","oats",59.7,"2019",2.388
"Iowa","Osceola","oats",48,"2019",1.92
"Iowa","Other (Combined) Counties","oats",84.3,"2019",3.372
"Iowa","Plymouth","oats",71.2,"2019",2.848
"Iowa","Sioux","oats",71.2,"2019",2.848
"Iowa","Other (Combined) Counties","oats",39.6,"2019",1.584
"Iowa","Van Buren","oats",42.3,"2019",1.692
"Iowa","Greene","oats",47.9,"2019",1.916
"Iowa","Guthrie","oats",58.6,"2019",2.344
"Iowa","Other (Combined) Counties","oats",66.4,"2019",2.656
"Iowa","Shelby","oats",74.6,"2019",2.984
"Iowa","Woodbury","oats",82,"2019",3.28
"Iowa","Boone","hay",3.35,"2018",3.03912
"Iowa","Boone","oats",57.9,"2018",2.316
"Iowa","Hamilton","hay",3.45,"2018",3.12984
"Iowa","Hardin","oats",70,"2018",2.8
"Iowa","Jasper","oats",54.5,"2018",2.18
"Iowa","Other (Combined) Counties","hay",3.6,"2018",3.26592
"Iowa","Other (Combined) Counties","oats",69.6,"2018",2.784
"Iowa","Polk","hay",4.3,"2018",3.90096
"Iowa","Poweshiek","oats",59.7,"2018",2.388
"Iowa","Story","oats",55,"2018",2.2
"Iowa","Tama","oats",50.7,"2018",2.028
"Iowa","Webster","hay",3.7,"2018",3.35664
"Iowa","Benton","oats",65.5,"2018",2.62
"Iowa","Cedar","oats",60.7,"2018",2.428
"Iowa","Iowa","oats",76.6,"2018",3.064
"Iowa","Jackson","hay",4.45,"2018",4.03704
"Iowa","Jackson","oats",52.5,"2018",2.1
